contract_address,name,base_asset_id,base_asset_name,base_asset_symbol,base_asset_contract_address,quote_asset_id,quote_asset_name,quote_asset_symbol,quote_asset_contract_address,dex_id,dex_slug,network_id,network_slug,last_updated,created_at,price,volume_24h,percent_change_price_1h,percent_change_price_24h,liquidity,fully_diluted_value
B4Vwozy1FGtp8SELXSXydWSzavPUGnJ77DURV2k4MhUV,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,10557,raydium-clmm,16,Solana,2024-12-22T02:56:15.596Z,2024-12-17T13:00:30.000Z,0.026817141979895705,68274322.84891944,-0.0119555904,-0.1043128243,17228501.737183105,2383744005.5331006
HQCtRaHWyfqGcS7gFmvAn2vVgG7ZT2PQjBdsPd4RGNZy,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-22T02:53:40.213Z,2024-12-17T14:22:52.000Z,0.026762866738122157,29386875.642718054,-0.0185772037,-0.1110267872,3588250.7991153393,2378919543.5407095
A3N64gxHQL8b2cQ75JM3nVqoRFYWmntaEUFfDmhYe1Nv,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:56:17.795Z,2024-12-17T13:00:31.000Z,0.02681435248221642,8316786.0438711075,-0.0075092553,-0.1120129788,1480632.1072663516,2383496050.3864846
2ZxdV1nxxUNrNey4UtXdsRGh2yYKJu1K8tUYT6qg97o3,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-22T02:52:26.513Z,2024-12-17T13:20:11.000Z,0.026758027031541044,8289048.197416406,-0.017193248,-0.1108355802,1452911.3756048023,2378489347.7517653
FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,1426,orca,16,Solana,2024-12-22T02:56:21.792Z,2024-12-17T13:00:51.000Z,0.02684217990991414,3892709.659712791,-0.0061947524,-0.1096866174,7038396.12427772,2385969597.4935393
GsTT2Jqv5EXr3vAmLcDyeY4DYDKDS1SRyzjWdZVm3pYb,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-22T02:53:56.247Z,2024-12-17T12:46:40.000Z,0.027767649039415428,1751113.0639653718,0.0216705978,-0.0927085877,3240302.2680439563,2468233452.8815775
A232efjrg4Bf95skJhy9EhqNMpM1Lz3G6iBNr6NoQfb7,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-22T02:52:36.768Z,2024-12-17T12:57:22.000Z,0.02683052837754606,1537453.689081439,-0.0141815644,-0.1251647527,153483.0223395953,2384933906.5739584
B7vo5GWKdSxeASDsSshwiN2G4AMwmsMcMZ3wUwSCRR1,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:51:16.138Z,2024-12-17T12:46:21.000Z,0.02663787345557505,1044913.5266531839,-0.0434221129,-0.1162926837,3405321.0433613644,2367809038.6171446
C6ELogyx2aAd4FfMS9YcVQ284sPvD454hNaFGj7WFYYh,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-22T02:46:00.039Z,2024-12-17T12:46:41.000Z,0.026828408764090428,911417.4859905316,-0.0385463182,-0.1109596242,1766321.1416765589,2384745496.643001
8GsWExrRFeBj1Nh8gCuVQZo3f6yzd1YFofGbwebh7uFh,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,1426,orca,16,Solana,2024-12-22T02:55:38.070Z,2024-12-17T13:54:21.000Z,0.02684217265225596,897760.682311425,-0.0166620648,-0.103033969,255178.35756312218,2385968952.368895
